POLITICAL_UNIT,NAME,WGMS_ID,YEAR,SURVEY_DATE,HIGHEST_ELEVATION,MEDIAN_ELEVATION,LOWEST_ELEVATION,ELEVATION_UNC,LENGTH,LENGTH_UNC,AREA,AREA_UNC,SURVEY_PLATFORM_METHOD,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
CH,BOUQUETINS,5553,2010,20109999,3756.0,3553.0,3284.0,,0.17,,0.081,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BOUQUETINS GLACIER DES (PART OF B73/32N),5579,2010,20109999,3303.0,3135.0,3001.0,,0.56,,0.127,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BOUQUETINS-E,5554,2010,20109999,3112.0,3046.0,2994.0,,0.15000001,,0.026000001,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BOUQUETINS-I (PART OF B73/32N),5589,2010,20109999,3350.0,3188.0,3036.0,,0.66000003,,0.182,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BOUQUETINS-II (PART OF B73/32N),5590,2010,20109999,3135.0,3007.0,2914.0,,0.47999999,,0.061999999,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BOUSSINE-N,5642,2010,20109999,3821.0,3646.0,3241.0,,0.51999998,,0.248,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BOUSSINE-S,5641,2010,20109999,3314.0,3116.0,2994.0,,0.63999999,,0.336,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BOVAL DADAINS VADRET-N,5798,2009,20099999,3216.0,3143.0,3055.0,,0.28999999,,0.037,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BOVAL DADAINS VADRET-NE,5797,2009,20099999,3047.0,2919.0,2844.0,,0.34,,0.052999999,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BOVAL DADOUR VADRET,5799,2009,20099999,3150.0,2986.0,2860.0,,0.54000002,,0.14300001,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BOVEYRE,459,1964,19649999,3663.0,,,,,,,,,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
